Description,Title
"CARS - 
                                Car Rental",Thrifty Car Rental
ELECTRONICS -,050telecom
"FASHION - 
                                Fashion Watches and Accessories-GC , Momo Design, ..",1915
"HOME-DECOR - 
                                Home Furniture and Decor",@ Home
"FASHION - 
                                sports shoes, clothing and accessories.",Adidas
"FASHION - 
                                Mens and womens casual wear",Aeropostale
"FASHION - 
                                Earrings, rings, bracelets, necklaces, pendants, j..",Agatha
"FASHION - 
                                Watches - Bovet, Iwe, Richard Mille, Harry Winston..",Ahmed Seddiqi & Sons
"FASHION - 
                                Fashion and Accessories.",Ai Zone
"FASHION - 
                                Men, Women and kids Shoes, Bags, Fragrances, Watch..",Aigner
"FASHION - 
                                Perfumes",Ajmal Perfumes
"LEISURE - 
                                Foreign Exchange, Remittances, Bill Payments, Cred..",Al Ansari Exchange
FASHION -,Al Boom Marine
"FASHION - 
                                Seiko, Fossil, Esprit, Raymond Weil, Kolber , West..",Al Futtaim Watches and Jewellery
"FASHION - 
                                high quality vision-care products, fashionable eye..",Al Jaber
"FASHION - 
                                spectacle frames, sunglasses, contact lenses and a..",Al Yateem Optician
"FASHION - 
                                Footwear and Accessories",Aldo
"FASHION - 
                                Handbags and Accessories",Aldo Accessories
"FASHION - 
                                women’s ready-to-wear, accessories and eyewear.",Alexander McQueen
"FASHION - 
                                Men Fashion",AllSaints
"FASHION - 
                                abayas, jalabiyas, and sheilas.",Almotahajiba
"KIDS - 
                                Exclusive range of clothes for dolls, books, gifts..",American Girl
"FASHION - 
                                Ties",Andrews Ties
"ELECTRONICS - 
                                Technology",Apple
"FASHION - 
                                perfumes and cosmetic",Areej
"KIDS - 
                                Kids Fashion",Armani Junior
"FASHION - 
                                ASICS produces footwear and sports equipment",Asics
"ELECTRONICS - 
                                Nokia, BlackBerry, Apple, Sony Ericsson, LG, Samsu..",Axiom
"FASHION - 
                                Chic, ready-to-wear, designer fashions & accessori..",Balenciaga
"HEALTH - 
                                Fragrance, Lotion, perfumes, Home fragrances, cand..",Bath and Body Works
"FASHION - 
                                Women Fashion",BCBGMAXAZRIA
"FASHION - 
                                Women Fashion",Bebe
FASHION -,Bershka
"ELECTRONICS - 
                                Built-in appliances, Major domestic appliances, Sm..",Better Life
"FASHION - 
                                Women Fashion - business suiting and occasion wear",Betty Barclay
"FASHION - 
                                Men Fashion",Billionaire
"FASHION - 
                                Footwear",Birkenstock
"FASHION - 
                                Well cut suit, blazer, grey trousers, oxford shirt..",Boggi
"HEALTH - 
                                Healthcare, skincare, Babycare",Boots Pharmacy
"KIDS - 
                                books, music and movies",Borders
"FASHION - 
                                Leather goods",Bottega Veneta
"FASHION - 
                                Jewellery",Boucheron
FASHION -,Boutique
"FASHION - 
                                Men Formal Wear",Brioni
"FASHION - 
                                Men Fashion",Brooks Brothers
"FASHION - 
                                Fashion",Brunello Cucinelli
"FASHION - 
                                Men / Women Fashion with brands like Philipp Plein..",Bugatti B More
"KIDS - 
                                Workshop For Kids",Build-A-Bear Workshop
"FASHION - 
                                clothing, fashion accessories, fragrances, sunglas..",Burberry
"FASHION - 
                                footwear and accessories",Call it Spring
"FASHION - 
                                Socks, Leggings, Stockings and Beachwear",Calzedonia
"FASHION - 
                                Men's luxury fine tailored clothing, ties, belts, ..",Canali
"FASHION - 
                                Handbags",Carpisa
DEPT -,Carrefour
"KIDS - 
                                Babies, toddlers and children clothing",Carters
"FASHION - 
                                Bags, accessories, homeware, fashion and things fo..",Cath Kidston
"FASHION - 
                                women's apparel, shoes & leather goods.",Céline
"FASHION - 
                                Deluxe men and women's ready-to-wear clothing, eye..",Cerruti
"FASHION - 
                                women’s, men’s, children's, accessories and specia..",CH Carolina Herrera
"FASHION - 
                                Ladies Footwear and Bags",Charles and Keith
"FASHION - 
                                Footwear",Charlotte Olympia
"HOME-DECOR - 
                                Furniture",Chattels & More
"FASHION - 
                                Footwear",Christian Louboutin
"FASHION - 
                                Undergarments",CK
"FASHION - 
                                Ladies Fashion",Claire’s
"HEALTH - 
                                Face Care, Body Care, Water Treatments, and Make-U..",Clarins
FASHION -,Clarks
"FASHION - 
                                Men and Women handbags, men's bags, women's and me..",Coach
"FASHION - 
                                Ladies Fashion and Accessories.",Coast
LEISURE -,Coldstone Creamery
"FASHION - 
                                Men, Women, Kids Sportswear",Columbia
"FASHION - 
                                Hugo Boss, Thierry Mugler, Lancaster, Gianvito Ros..",Concept Big Brands Carnival
"FASHION - 
                                Assorted bags/ travel goods, featuring high qualit..",Condotti
"FASHION - 
                                men's and women's footwear and apparel.",Converse
"FASHION - 
                                Fashion for Men and Women",COS
"HEALTH - 
                                Toiletries, Home fragrance,natural luxuries for th..",Crabtree & Evelyn
"HOME-DECOR - 
                                Modern off-shoot, CB2, and childrens’ home furnish..",Crate & Barrel
"FASHION - 
                                Footwear",Crocs
"FASHION - 
                                casual/formal wear, men's women's, kids, accessori..",Debenhams
"FASHION - 
                                Women Fashion",DIANE von FURSTENBERG
FASHION -,Diesel
"FASHION - 
                                Men and Wome Fashion",Dirk Bikkembergs
"FASHION - 
                                Women Fashion",DKNY
"FASHION - 
                                Womens Fashion",Dorothy Perkins
"FASHION - 
                                Eyewear",Dubai Optical
LEISURE -,Dubai Shopping Malls
"FASHION - 
                                Ladies Footwear and Bags",Dune
"ELECTRONICS - 
                                mobile phones, notebooks, cameras, MP3, gaming, ho..",E-City
"KIDS - 
                                Toys",Early Learning Centre
"FASHION - 
                                Footwear for men, women, kids",ecco
"FASHION - 
                                Women Fashion",Elie Tahari
"ELECTRONICS - 
                                Electronics",Emax
"FASHION - 
                                Women Fashion",Emilio Pucci
"FASHION - 
                                Mens Fashion, Womens Fashion, Eyewear, Watches and..",Emporio Armani
FASHION -,Ermenegildo Zegna
"ELECTRONICS - 
                                Consumer electronics, digital products, home appli..",Eros Group
"FASHION - 
                                Women Fashion",Etoile La boutique
"FASHION - 
                                Women Fashion",Evans
"FASHION - 
                                Cartier, Montblanc, Bvlgari, Italia Independent, T..",Eye Zone- Rivoli
"FASHION - 
                                Men, Women, Children Footwear",Fabi
"FASHION - 
                                Clothing, Shoes, Accessories",Façonnable
"FASHION - 
                                Cosmetics",Flormar
"ELECTRONICS - 
                                Mobile phones and Accessories",Fono
"FASHION - 
                                Shoes : Basketball, Boots, Casuals, Running, Sanda..",Foot Locker
"FASHION - 
                                Ladies Fashion",Forever 21
"FASHION - 
                                 men and women Fashion",French Connection
"FASHION - 
                                Men Fashion",G-Star Raw
FASHION -,G2000
"FASHION - 
                                Men's and womens fashionable wear, casuals, shirts..",GANT
"FASHION - 
                                casual, men's women's, kids, accessories",GAP
FASHION -,GC
"FASHION - 
                                Footwear",Geox
"FASHION - 
                                Fashion for Men and Women",Gianfranco Ferré
"FASHION - 
                                Men and Women's wear",Giordano
"FASHION - 
                                Men and Women Fashion",Giorgio Armani
"FASHION - 
                                Sports - Apparel, footwear, equipment and accessor..",Go Sport
"FASHION - 
                                For Women & Kids: Stockings, Beachwear, Lingerie, ..",Goldenpoint
FASHION -,Grand Optics
ELECTRONICS -,Grand Stores
"HOME-DECOR - 
                                 photography cameras, camcorders, binoculars and t..",Grand Stores Home
FASHION -,Gucci
KIDS -,Gymboree
"FASHION - 
                                ladies, men, teenagers and children Fashion.",H&M
FASHION -,Hackett
"LEISURE - 
                                Greeting cards, Paper products, Gifts and Toys.",Hallmark
"FASHION - 
                                Women Fashion",Halston Heritage
"FASHION - 
                                Abayas and Sheilas",Hanayen
"ELECTRONICS - 
                                JBL (Home Audio & Car Audio, Infinity (Home Audio ..",Harman House
"FASHION - 
                                Men Fashion",Harmont & Blaine
"FASHION - 
                                Men and Women Casual/Formal wear, Food, Home, Beau..",Harvey Nichols
"FASHION - 
                                Women Fashion",Herve Leger
ELECTRONICS -,HiPHONE Telecom
"HOME-DECOR - 
                                Home Decor and Furniture",Home Centre
"FASHION - 
                                Men and Women's Watches",Hour Choice
"FASHION - 
                                Footwear",Hush Puppies
"FASHION - 
                                Women and Men Fashion",Iceberg
FASHION -,Icing
"HOME-DECOR - 
                                Home Furniture and Accessories",ID Design
"HOME-DECOR - 
                                Furniture",Indigo Living
"HEALTH - 
                                Health & Beauty Shops / Perfumes / Oud / Cosmetics",INGLOT
"FASHION - 
                                sandal and flip flop collection",ipanema
FASHION -,Isabel Marant
"KIDS - 
                                Kids Fashion - 0-12 years",Jacadi
"FASHION - 
                                Menswear",Jack & Jones
"ELECTRONICS - 
                                IT, Electronics, Home Appliances, Photographic Pro..",Jackys
"FASHION - 
                                Womens Fashion",Jane Norman
"HOME-DECOR - 
                                dinnerware, cookware, bed and bath accessories, ho..",Jashanmal
"FASHION - 
                                Ladies Fashion",Jennyfer
FASHION -,Jimmy Choo
"FASHION - 
                                Women Fashion",Juicy Couture
"ELECTRONICS - 
                                Acer, Blackberry, Brother, Casio, Dometic, Du, Dys..",Jumbo Electronics
"FASHION - 
                                Men and Women Fashion",Just Cavalli
"FASHION - 
                                Teen girls and boys Fashion",Justice
"FASHION - 
                                Lingerie and sleepwear",K-Lynn Lingerie
"FASHION - 
                                Women Fashion",Karen Millen
FASHION -,Katakeet
"FASHION - 
                                Women Fashion",Kate Spade
"LEISURE - 
                                Hotel",Kempinski Hotel
FASHION -,Kenzo
"HEALTH - 
                                High quality products, Make-up products",Kiko Milano
"FASHION - 
                                Mens wear, Female Clothing and accesories, Kids we..",Koton
"FASHION - 
                                Footwear",kurt geiger
"FASHION - 
                                Polo, sportswear and leisurewear for Men and Women",La Martina
"FASHION - 
                                Lingerie",La Senza ME
"FASHION - 
                                Women, Men Fashion",Lacoste
"HOME-DECOR - 
                                Cleaning solutions, Home Furnishings and accessori..",Lakeland
HOME-DECOR -,Lalique
FASHION -,Lanvin
"FASHION - 
                                Ladies Footwear",Le Silla
"KIDS - 
                                Toys",Lego
"FASHION - 
                                Men and Women clothing",Levis
FASHION -,Liali Jewellery
"HEALTH - 
                                home fragrance, cosmetics, perfumes, fashion acces..",Lifestyle
"FASHION - 
                                Women Fashion",Lipsy
"HEALTH - 
                                Body, face, and home products",Loccitane
FASHION -,Longchamp
"FASHION - 
                                Luxury Footwear",loriblu
"LEISURE - 
                                Entertainment for family",Magic Planet
"FASHION - 
                                Eyewear, Sunglasses and contact lenses.",Magrabi Optical
FASHION -,Mango
"FASHION - 
                                Ladies Footwear",Manolo Blahnik
"HOME-DECOR - 
                                Home Furnishing",Marina Exotic Home Interiors
"FASHION - 
                                Ladies wear, Menswear, Kids wear, Lingerie, Beauty..",Marks & Spencer
"FASHION - 
                                Women Fashion",Marni
"FASHION - 
                                Women, Men, Kids Clothing",Massimo Dutti
"FASHION - 
                                Womenswear, menswear and accessories",McQ
FASHION -,Mendoza
"FASHION - 
                                Handbags, Accessories, footwear and apparel, inclu..",Michael Kors
"FASHION - 
                                Cosmetics",Mikyajy
"FASHION - 
                                men’s and ladies footwear and accessories",Milano
"FASHION - 
                                Ladies Fashion",Miss Selfridge
FASHION -,Miu Miu
"FASHION - 
                                Sportswear, Gear and Sport Equipments",Modells Sports
"HEALTH - 
                                Beauty Products",Molton Brown
"FASHION - 
                                Womenswear, Childrenswear and Accessories",Monsoon - Accessorize
"KIDS - 
                                baby essentials, feeding, nursery furniture, pushc..",Mothercare
"FASHION - 
                                Stationery, Health and Beauty products, Storage co..",Muji
"FASHION - 
                                Luxury Fashion for Men and Women",Mulberry
"FASHION - 
                                Ladies Footwear",Naturalizer
"FASHION - 
                                men's, women's and children's apparel and accessor..",Nautica
"FASHION - 
                                Ladies nightwear, lingerie, loungewear, towel sets..",Nayomi
"FASHION - 
                                Footwear - Sports",New Balance
"FASHION - 
                                 casual wear, men's women's, kids, accessories",Next
"FASHION - 
                                Sports products",Nike
"FASHION - 
                                women's fashion footwear and accessories.",Nine West
"HEALTH - 
                                Nail Polish",NStyle Nail Lounge
"FASHION - 
                                sunglasses, goggles, apparel, footwear, and access..",Oakley
"FASHION - 
                                Ladies Fashion and accessories.",Oasis
FASHION -,Occhiali Optics
"KIDS - 
                                Fashion for boys, girls, infants and new born",Okaidi
"FASHION - 
                                Watches for men and Women",On Time
ELECTRONICS -,One Mobile
"FASHION - 
                                Ladies and Gents Footwear and Ladies Handbags",Opera
FASHION -,Optivision
"FASHION - 
                                Affordable retailer for sunglasses, optical produc..",Optx 20-20
"KIDS - 
                                Tops & Bodysuits, Bottoms, Dresses, Overalls & Jum..",Osh Kosh Bgosh
FASHION -,Oxygene
"FASHION - 
                                lingerie",Oysho
"KIDS - 
                                children's footwear",PABLOSKY
"FASHION - 
                                Converse, Skechers, Puma, Birkenstock, Supra, Oakl..",Pairs
"FASHION - 
                                Men - Jackets, Jeans, Smart Casuals, Suits",Pal Zileri
"FASHION - 
                                Jewellery",Pandora
"HOME-DECOR - 
                                contemporary cards, gifts and paper products",Paperchase
"FASHION - 
                                Clothing and styles for men and women.",Paul & Shark
"FASHION - 
                                Men and Women Official Wear",Paul Smith
"FASHION - 
                                Women Fashion",Paule Ka
"KIDS - 
                                Kids Fashion",Petit Bateau
"ELECTRONICS - 
                                Electronics, Home Appliances",Plug Ins
"FASHION - 
                                Italian jewelry",Pomellato
"FASHION - 
                                luxury products for men such as leather goods and ..",Porsche Design
FASHION -,Prada
FASHION -,Prima Gold
"FASHION - 
                                Women Fashion",Promod
"FASHION - 
                                Men and women Fashion",Pull & Bear
FASHION -,Puma
"KIDS - 
                                Kids Fashion",Pumpkin Patch
"FASHION - 
                                Women Fashion",Punt Roma
"FASHION - 
                                Baby Bling, Bridal, Carino, Eternity, His & Her, I..",Pure Gold Jewellers
"FASHION - 
                                Surfwear, Beachwear",Quiksilver
"FASHION - 
                                SPORTS EQUIPMENT AND APPAREL & FOOTWEAR from Skate..",RAGE
"FASHION - 
                                Men / Women Fashion",Ralph Lauren
"FASHION - 
                                Men and Women Fashion",Reiss
"FASHION - 
                                wetsuits, surfwear, snowboard or mountainwear, and..",Rip Curl
"HEALTH - 
                                Home & body cosmetics, luxury body and facial crea..",Rituals
"FASHION - 
                                Men, Women, Kids Fashion",River Island
"FASHION - 
                                watches, writing instruments, luxury communication..",Rivoli Group
"FASHION - 
                                men’s and women’s collections",Roberto Cavalli
"FASHION - 
                                Ladies Footwear",Roger Vivier
"FASHION - 
                                Ladies Apparel, accessories, Surf and snow clothin..",Roxy
"FASHION - 
                                men’s wear, women’s and boys wear, shoes and acces..",Sacoor Brothers
FASHION -,Saint Laurent
"FASHION - 
                                Women Fashion",Salsa
FASHION -,Samsonite
"ELECTRONICS - 
                                Electronics",Samsung
"FASHION - 
                                Beachwear, Lingerie, Swimwear",Seafolly
"FASHION - 
                                Women Fashion",See by Chloe
"FASHION - 
                                 luggage and linen",Sharief Stores
FASHION -,Shoe Citi
"FASHION - 
                                Footwear",Shoe Mart
HEALTH -,Sisters Beauty Lounge
"FASHION - 
                                SKECHERS Sport, SKECHERS USA, SKECHERS Active, SKE..",Skechers
LEISURE -,Ski Dubai
"FASHION - 
                                Footwear and Bags",Stella McCartney
"FASHION - 
                                Womens footwear",Steve Madden
"FASHION - 
                                Women Clothing",Stradivarius
"HEALTH - 
                                Signature manicures and pedicures, waxing and an a..",Sugar Beauty Lounge
"FASHION - 
                                Eyewear",Sunglass Hut
"FASHION - 
                                Men and Women Fashion",Superdry
"FASHION - 
                                jewellery, giftware, decor and accessories.",Swarovski
"FASHION - 
                                Ahlam, Habiba, Faith, Nawaf, Edge, Dehn El Oud Seu..",Swiss Arabian
"HOME-DECOR - 
                                crystal, porcelain, silverware, jewelry - Luxury H..",Tanagra
"KIDS - 
                                The Kids Fashion clothes from 0 -14 years",Tape à l’oeil
"HOME-DECOR - 
                                cookware, bakeware and tableware",Tavola
"FASHION - 
                                Men and Women Fashion",Ted Baker
"FASHION - 
                                Men and Women Fashion",The American Eagle Outfitters
"FASHION - 
                                Footwear and sports accessories",The Athletes Foot
"HEALTH - 
                                Cosmetics, Skin Care, Make up, Fragranced, Hair pr..",The Body Shop
"HOME-DECOR - 
                                furniture and accessories, Homeware",The One
"KIDS - 
                                Toys",The Toy Store
"FASHION - 
                                Watches - Seiko, Fossil, Puma, Kolber, Esprit, Wes..",The Watch House
"HOME-DECOR - 
                                Home accessories and clothing",The White Company
"CARS - 
                                Car Rental",Thrifty Car Rental
"FASHION - 
                                Hiking boots, outdoor clothing and products for ac..",Timberland
FASHION -,Timex
"FASHION - 
                                Shoes, Bags, Accessories, Jackets",Tods
FASHION -,Tom Ford
"FASHION - 
                                casual wear, men's women's, kids, accessories",Tommy Hilfiger
"KIDS - 
                                Kids Fashion",Tommy Hilfiger Kids
"FASHION - 
                                Footwear and Accessories",Toms
"FASHION - 
                                Fashion",TOPSHOP
"LEISURE - 
                                Global remittance, foreign exchange and payment so..",UAE Exchange
"FASHION - 
                                Men’s, Women’s and Kid’s footwear",UGG
"FASHION - 
                                women’s casual and formal wear, mens casual and fo..",United colors of Benetton
FASHION -,Valencia Shoes
"FASHION - 
                                Women Fashion",Vero Moda
"FASHION - 
                                Luxury goods for Men and Women",Versace
"FASHION - 
                                Signature bras, panties and sleepwear",Victorias Secret
"HOME-DECOR - 
                                porcelain, stemware and cutlery, rounded off by ma..",Villeroy&boch
"FASHION - 
                                 women's and men's apparel, women's and men's foot..",Vince
"ELECTRONICS - 
                                Movies, Music, Books, Gifts, Stationery, Gadgets, ..",Virgin Megastore
"FASHION - 
                                Eyewear",vision express
"FASHION - 
                                Ladies Fashion",Wallis
"HOME-DECOR - 
                                Furniture and Home decor",WEST ELM
"HEALTH - 
                                Cosmetics, Fragrance, Skincare",Wojooh Faces
"FASHION - 
                                Women, Men, Kids Fashion and accessories",Zara
"HOME-DECOR - 
                                A collection of household and designer homeware",Zara Home
"FASHION - 
                                Luxurious leather for Men",Zilli
